econdata
Year,Area,Labor Force,Employment,Unemployment,Unemployment Rate
2018,Mount Shasta city,"1,530","1,500",30,1.7
2018,Murphys CDP,"1,010",970,50,4.4
2018,Murrieta city,"55,400","53,400","1,900",3.5
2018,Muscoy CDP,"5,000","4,500",400,8.8
2018,Napa city,"42,200","40,900","1,300",3.1
2018,National City city,"24,800","23,600","1,100",4.6
2018,Needles city,"1,700","1,700",0,2.8
2018,Nevada City city,"1,410","1,370",40,3.0
2018,Newark city,"25,200","24,500",700,2.8
2018,Newman city,"4,700","4,300",400,8.5
2018,Newport Beach city,"45,100","43,800","1,200",2.7
2018,Nice CDP,990,950,30,3.4
2018,Nipomo CDP,"9,000","8,600",400,4.4
2018,Norco city,"11,600","11,100",400,3.7
2018,North Auburn CDP,"5,600","5,400",100,2.6
2018,North Edwards CDP,500,400,100,12.3
2018,North El Monte CDP,"1,700","1,700",0,2.4
2018,North Fair Oaks CDP,"8,200","8,100",100,1.6
2018,North Highlands CDP,"20,400","19,700",700,3.2
2018,North Lakeport CDP,"1,500","1,470",30,2.0
2018,Norwalk city,"50,300","48,000","2,300",4.6
2018,Novato city,"29,700","28,900",700,2.5
2018,Nuevo CDP,"3,200","3,000",100,4.2
2018,Oakdale city,"9,700","8,900",800,8.1
2018,Oakhurst CDP,"1,600","1,500",100,6.7
2018,Oakland city,"214,500","207,000","7,500",3.5
2018,Oakley city,"19,900","19,200",700,3.6
2018,Oak Park CDP,"6,900","6,600",300,4.5
2018,Oak View CDP,"2,200","2,200",100,4.0
2018,Occidental CDP,400,400,0,0.0
2018,Oceano CDP,"3,600","3,400",100,4.0
2018,Oceanside city,"81,900","79,100","2,900",3.5
2017,Acton CDP,"3,600","3,500",100,3.6
2017,Adelanto city,"9,500","8,700",800,8.9
2017,Agoura Hills city,"11,500","11,100",500,4.1
2017,Alameda city,"41,700","40,200","1,400",3.5
2017,Alamo CDP,"6,500","6,400",100,2.2
2017,Albany city,"9,800","9,500",300,3.1
2017,Alhambra city,"46,400","44,500","1,900",4.1
2017,Aliso Viejo CDP,"30,100","29,200","1,000",3.2
2017,Alondra Park CDP,"4,100","3,800",300,6.6
2017,Alpaugh CDP,400,300,100,22.8
2017,Alpine Village CDP,80,80,0,0.0
2017,Altadena CDP,"23,700","22,900",800,3.5
2017,Alta Sierra CDP,"3,640","3,560",80,2.1
2017,Alturas city,"1,090",990,100,9.1
2017,Amador City city,80,70,10,6.7
2017,American Canyon city,"10,300","9,800",500,4.8
2017,Anaheim city,"170,400","164,000","6,400",3.8
2017,Anderson city,"4,200","4,000",200,5.3
2017,Angels City city,"1,800","1,800",0,0.2
2017,Angwin CDP,"2,000","2,000",100,3.3
2017,Antioch city,"50,800","48,300","2,400",4.8
2017,Apple Valley town,"28,500","26,900","1,600",5.6
2017,Aptos CDP,"3,300","3,300",100,1.9
2017,Aptos Hills Larkin Valley CDP,"1,000","1,000",100,9.1
2017,Arbuckle CDP,"2,010","1,650",360,18.1
2017,Arcadia city,"29,700","28,600","1,100",3.6
2017,Arcata city,"9,600","9,000",600,6.4
2017,Arden Arcade CDP,"45,500","42,700","2,800",6.0
2017,Armona CDP,"1,400","1,200",200,11.6
2017,Arnold CDP,"1,110","1,040",70,6.1
2017,Aromas CDP (Monterey Co),"1,600","1,500",100,5.3
2017,Arroyo Grande city,"9,200","8,900",300,3.1
2017,Artesia city,"8,000","7,700",300,3.9
2017,Arvin city,"8,900","8,100",800,8.7
2017,Ashland CDP,"11,200","10,500",700,5.8
2017,Atascadero city,"15,400","14,900",500,3.3
2017,Atherton town,"3,100","3,000",100,3.0
2017,Atwater city,"12,000","10,900","1,100",8.8
2017,Auberry CDP,"1,000","1,000",100,5.1
2017,Auburn city,"6,700","6,400",300,4.2
2017,August CDP,"3,400","2,900",500,13.6
2017,Avalon city,"2,100","2,100",0,0.4
2017,Avenal city,"3,700","3,200",500,14.0
2017,Avery CDP,300,270,30,10.1
2017,Avocado Heights CDP,"7,400","7,000",400,5.9
2017,Azusa city,"25,000","23,800","1,200",4.8
2017,Bakersfield city,"174,800","163,500","11,300",6.4
2017,Baldwin Park city,"34,600","32,800","1,800",5.1
2017,Banning city,"11,100","10,400",700,6.3
2017,Barstow city,"8,700","8,100",600,6.7
2017,Bay Point CDP,"11,900","11,100",800,6.8
2017,Beale AFB CDP,200,200,0,10.6
2017,Bear Valley CDP,30,30,0,0.0
2017,Bear Valley Springs CDP,"1,800","1,700",100,4.6
2017,Beaumont city,"21,500","20,600",900,4.0
2017,Beckwourth CDP,110,110,0,0.0
2017,Belden CDP,0,0,0,0.0
2017,Bell city,"15,100","14,300",800,5.4
2017,Bellflower city,"36,400","34,500","1,900",5.3
2017,Bell Gardens city,"18,100","17,200",900,5.0
2017,Belmont city,"16,300","15,900",500,2.8
2017,Benicia city,"14,900","14,300",600,3.7
2017,Ben Lomond CDP,"3,800","3,700",100,2.6
2017,Berkeley city,"62,900","60,700","2,200",3.5
2017,Bermuda Dunes CDP,"3,400","3,300",200,4.7
2017,Bertsch Oceanview CDP,760,640,120,16.1
2017,Bethel Island CDP,800,800,0,2.9
2017,Beverly Hills city,"18,300","17,600",800,4.2
2017,Big Bear City CDP,"5,600","5,400",200,3.0
2017,Big Bear Lake city,"2,300","2,200",0,1.9
2017,Biggs city,900,900,0,3.4
2017,Big Pine CDP,700,660,40,5.7
2017,Big River CDP,400,400,0,7.6
2017,Biola CDP,600,500,200,24.3
2017,Bishop city,"1,610","1,550",60,3.7
2017,Bloomington CDP,"10,000","9,400",500,5.5
2017,Blue Lake city,500,500,0,4.1
2017,Bluewater CDP,0,0,0,9.4
2017,Blythe city,"5,600","5,300",300,5.5
2017,Bodega Bay CDP,500,500,0,2.4
2017,Bodfish CDP,400,300,0,9.9
2017,Bonadelle Ranchos Madera Ranchos CDP,"4,100","3,900",200,5.7
2017,Bonita CDP,"6,000","5,700",400,6.2
2017,Bootjack CDP,340,310,30,8.9
2017,Boron CDP,800,800,0,5.9
2017,Boronda CDP,600,400,200,35.2
2017,Bostonia CDP,"8,000","7,400",600,7.7
2017,Boulder Creek CDP,"2,700","2,500",200,7.0
2017,Boyes Hot Springs CDP,"4,100","4,000",100,2.2
2017,Bradbury city,500,500,0,1.5
2017,Bradley CDP,100,100,0,0.0
2017,Brawley city,"10,300","8,600","1,700",16.7
2017,Brea city,"22,500","21,800",700,3.3
2017,Brentwood city,"28,800","27,600","1,200",4.2
2017,Bret Harte CDP,"2,000","1,700",300,15.1
2017,Brisbane city,"2,800","2,800",100,2.9
2017,Broadmoor CDP,"3,500","3,300",200,5.4
2017,Bucks Lake CDP,10,10,0,0.0
2017,Buellton city,"2,700","2,700",100,1.9
2017,Buena Park city,"40,300","38,700","1,600",3.9
2017,Burbank city,"59,200","56,100","3,100",5.2
2017,Burlingame city,"18,000","17,500",500,2.6
2017,Burney CDP,"1,300","1,200",100,6.1
2017,Buttonwillow CDP,600,500,100,9.6
2017,Byron CDP,600,500,0,7.3
2017,Bystrom CDP,"1,300","1,200",100,7.8
2017,Cabazon CDP,"1,300","1,200",100,4.4
2017,Calabasas city,"12,200","11,800",400,2.9
2017,Calexico city,"18,200","12,600","5,600",30.8
2017,California City city,"4,500","3,700",800,18.2
2017,Calimesa city,"3,500","3,300",200,5.2
2017,Calipatria city,"1,200",900,300,24.4
2017,Calistoga city,"2,700","2,600",100,4.9
2017,Calwa CDP,900,800,100,15.5
2017,Camarillo city,"33,500","32,300","1,200",3.6
2017,Cambria CDP,"2,600","2,500",100,4.6
2017,Cameron Park CDP,"9,500","9,200",400,4.0
2017,Campbell city,"25,800","25,100",800,2.9
2017,Cantua Creek CDP,100,100,0,7.6
2017,Canyondam CDP,40,10,30,71.1
2017,Canyon Lake city,"5,200","5,100",100,2.6
2017,Capitola city,"5,700","5,600",100,1.7
2017,Carlsbad city,"54,600","52,600","2,100",3.8
2017,Carmel by the Sea city,"1,600","1,600",0,0.2
2017,Carmel Valley Village CDP,"2,600","2,300",300,10.8
2017,Carmichael CDP,"30,200","28,700","1,400",4.7
2017,Carpinteria city,"7,100","6,900",300,3.8
2017,Carson city,"46,000","43,700","2,300",5.0
2017,Cartago CDP,0,0,0,0.0
2017,Caruthers CDP,"1,200","1,100",100,8.3
2017,Casa Conejo CDP,"1,700","1,600",100,7.2
2017,Casa de Oro Mount Helix CDP,"9,700","9,300",400,3.8
2017,Castro Valley CDP,"31,500","30,500","1,100",3.3
2017,Castroville CDP,"3,500","3,000",500,13.3
2017,Cathedral City city,"25,800","24,500","1,300",4.9
2017,Cayucos CDP,"1,300","1,300",0,3.6
2017,Ceres city,"21,600","19,700","1,900",8.9
2017,Cerritos city,"25,500","24,400","1,100",4.1
2017,Challenge Brownsville CDP,200,200,0,0.0
2017,Channel Islands Beach CDP,"1,700","1,500",200,12.4
2017,Charter Oak CDP,"5,000","4,700",300,5.7
2017,Cherryland CDP,"7,400","6,900",500,6.6
2017,Cherry Valley CDP,"3,200","3,100",100,3.2
2017,Chester CDP,970,900,70,7.4
2017,Chico city,"48,400","46,200","2,200",4.5
2017,Chilcoot Vinton CDP,20,0,20,100.0
2017,China Lake Acres CDP,600,500,0,7.8
2017,Chinese Camp CDP,30,30,0,0.0
2017,Chino city,"41,800","40,100","1,700",4.1
2017,Chino Hills city,"43,000","41,600","1,400",3.3
2017,Chowchilla city,"4,400","4,100",300,7.2
2017,Chualar CDP,700,600,100,8.0
2017,Chula Vista city,"122,000","116,700","5,400",4.4
2017,Citrus CDP,"5,400","5,200",200,3.3
2017,Citrus Heights city,"43,100","41,100","1,900",4.5
2017,Claremont city,"16,900","16,100",700,4.3
2017,Clayton city,"5,900","5,800",100,1.8
2017,Clearlake city,"6,190","5,520",680,11.0
2017,Clearlake Oaks CDP,800,730,70,8.1
2017,Clio CDP,40,40,0,0.0
2017,Cloverdale city,"4,400","4,300",100,1.9
2017,Clovis city,"52,800","50,400","2,400",4.5
2017,Clyde CDP,400,300,0,2.8
2017,Coachella city,"19,800","17,400","2,400",12.3
2017,Coalinga city,"6,300","5,700",600,9.0
2017,Cobb CDP,520,500,20,3.9
2017,Colfax city,900,900,100,6.0
2017,Colton city,"24,400","23,100","1,300",5.3
2017,Columbia CDP,790,700,100,12.4
2017,Colusa city,"2,970","2,620",350,11.9
2017,Commerce city,"5,900","5,500",300,5.7
2017,Compton city,"39,200","36,700","2,500",6.3
2017,Concord city,"65,800","63,500","2,400",3.6
2017,Concow CDP,200,200,0,12.6
2017,Copperopolis CDP,"2,340","2,220",120,5.1
2017,Corcoran city,"4,600","3,800",800,17.4
2017,Corning city,"2,980","2,760",220,7.4
2017,Corona city,"82,600","79,200","3,300",4.0
2017,Coronado city,"8,700","8,300",300,3.6
2017,Corralitos CDP,"1,200","1,200",100,5.1
2017,Corte Madera town,"5,600","5,400",200,3.7
2017,Costa Mesa city,"65,500","63,400","2,100",3.2
2017,Cotati city,"4,300","4,200",200,3.6
2017,Coto de Caza CDP,"7,600","7,400",300,3.3
2017,Cottonwood CDP,"1,400","1,300",100,5.5
2017,Country Club CDP,"4,600","4,100",500,11.7
2017,Covelo CDP,430,410,20,5.6
2017,Covina city,"24,100","22,800","1,200",5.2
2017,Crescent City city,"1,470","1,390",80,5.3
2017,Crescent Mills CDP,120,120,0,0.0
2017,Crestline CDP,"4,300","4,200",100,3.1
2017,C Road CDP,60,60,10,12.5
2017,Crockett CDP,"1,700","1,600",100,5.6
2017,Cromberg CDP,90,90,0,0.0
2017,Cudahy city,"10,100","9,600",500,4.9
2017,Culver City city,"22,900","21,800","1,000",4.5
2017,Cupertino city,"29,700","28,700","1,000",3.2
2017,Cutler CDP,"2,500","2,200",300,11.1
2017,Cypress city,"24,900","24,000",900,3.5
2017,Daly City city,"63,500","61,700","1,700",2.7
2017,Dana Point city,"18,700","18,100",600,3.3
2017,Danville town,"20,800","20,100",700,3.4
2017,Darwin CDP,10,10,0,0.0
2017,Davis city,"35,100","33,900","1,200",3.4
2017,Day Valley CDP,"1,600","1,500",100,5.4
2017,Deer Park CDP,400,300,0,6.0
2017,Del Aire CDP,"5,500","5,200",200,3.8
2017,Delano city,"22,200","16,600","5,600",25.1
2017,Delhi CDP,"5,300","4,800",500,8.9
2017,Delleker CDP,160,160,0,0.0
2017,Del Mar city,"2,300","2,200",100,2.9
2017,Del Monte Forest CDP,"1,700","1,500",100,8.3
2017,Del Rey CDP,600,500,100,10.8
2017,Del Rey Oaks city,"1,000",900,100,7.8
2017,Denair CDP,"2,400","2,300",200,6.9
2017,Derby Acres CDP,100,100,0,1.7
2017,Desert Hot Springs city,"11,400","10,600",800,6.9
2017,Desert View Highlands CDP,"1,100","1,000",100,7.6
2017,Diablo CDP,100,100,0,0.0
2017,Diamond Bar city,"30,300","29,100","1,100",3.8
2017,Diamond Springs CDP,"5,200","4,900",300,5.7
2017,Dinuba city,"10,700","9,200","1,500",14.1
2017,Discovery Bay CDP,"7,800","7,500",300,3.5
2017,Dixon city,"9,700","9,200",500,4.8
2017,Dixon Lane Meadow Creek CDP,"1,220","1,160",60,4.9
2017,Dollar Point CDP,500,500,0,2.5
2017,Dorrington CDP,70,70,0,5.4
2017,Dos Palos city,"2,200","2,000",200,7.1
2017,Downey city,"57,300","54,700","2,600",4.5
2017,Duarte city,"11,000","10,400",600,5.8
2017,Dublin city,"31,100","30,100","1,000",3.2
2017,Ducor CDP,200,200,0,9.6
2017,Dunsmuir city,660,630,30,4.5
2017,Durham CDP,"2,900","2,800",100,2.7
2017,Dustin Acres CDP,200,200,0,4.0
2017,Earlimart CDP,"4,000","3,300",600,15.8
2017,East Foothills CDP,"3,600","3,600",100,2.0
2017,East Hemet CDP,"8,100","7,400",700,8.2
2017,East Los Angeles CDP,"55,700","51,400","4,400",7.8
2017,East Oakdale CDP,"1,600","1,500",100,6.3
2017,Easton CDP,"1,100","1,000",100,9.0
2017,East Orosi CDP,400,300,100,31.1
2017,East Palo Alto city,"14,800","14,300",500,3.2
2017,East Pasadena CDP,"3,100","3,000",100,1.9
2017,East Porterville CDP,"2,700","2,000",600,23.9
2017,East Quincy CDP,"1,200","1,190",20,1.3
2017,East Richmond Heights CDP,"1,900","1,900",0,1.7
2017,East San Gabriel CDP,"7,600","7,500",100,1.8
2017,East Shore CDP,130,40,100,71.4
2017,East Sonora CDP,930,930,0,0.0
2017,Eastvale City city,"31,300","30,100","1,200",3.7
2017,Edwards AFB CDP,400,300,0,10.5
2017,El Cajon city,"44,900","43,000","2,000",4.4
2017,El Centro city,"18,700","15,800","2,800",15.2
2017,El Cerrito city,"13,800","13,400",400,3.1
2017,El Cerrito CDP,"2,300","2,200",100,3.2
2017,El Dorado Hills CDP,"22,000","21,200",800,3.5
2017,El Granada CDP,"3,500","3,400",100,2.5
2017,Elk Grove CDP,"81,200","78,100","3,200",3.9
2017,Elkhorn CDP,700,600,100,10.9
2017,Elmira CDP,100,100,0,4.2
2017,El Monte city,"51,500","49,100","2,400",4.7
2017,El Paso de Robles (Paso Robles) city,"16,200","15,600",600,3.7
2017,El Rio CDP,"2,900","2,600",200,7.9
2017,El Segundo city,"9,500","8,900",500,5.6
2017,El Sobrante CDP,"7,500","7,200",400,4.7
2017,El Verano CDP,"1,900","1,900",0,1.5
2017,Emeryville city,"7,400","7,200",200,2.6
2017,Empire CDP,"1,600","1,500",100,5.1
2017,Encinitas city,"33,100","32,000","1,100",3.3
2017,Escalon city,"3,700","3,600",100,3.7
2017,Escondido city,"68,800","66,100","2,700",3.9
2017,Esparto CDP,"1,800","1,700",100,4.9
2017,Eureka city,"12,700","12,200",500,4.1
2017,Exeter city,"4,700","4,200",500,10.3
2017,Fairfax town,"4,700","4,500",100,2.6
2017,Fairfield city,"53,100","50,700","2,400",4.5
2017,Fair Oaks CDP,"14,600","14,200",500,3.1
2017,Fairview CDP,"5,300","5,200",100,1.8
2017,Fallbrook CDP,"14,100","13,600",500,3.7
2017,Fall River Mills CDP,100,100,0,0.0
2017,Farmersville city,"5,000","4,400",600,12.6
2017,Farmington CDP,0,0,0,0.0
2017,Fellows CDP,0,0,0,11.8
2017,Felton CDP,"2,300","2,200",200,7.8
2017,Ferndale city,600,600,0,1.7
2017,Fetters Hot Springs Agua Caliente CDP,"2,500","2,500",0,1.5
2017,Fillmore city,"7,300","7,000",300,3.9
2017,Firebaugh city,"3,800","3,200",500,14.2
2017,Florence Graham CDP,"27,700","25,900","1,800",6.4
2017,Florin CDP,"20,200","18,600","1,600",8.0
2017,Folsom city,"36,500","35,200","1,300",3.5
2017,Fontana city,"96,900","92,400","4,600",4.7
2017,Foothill Farms CDP,"14,900","14,100",700,4.9
2017,Ford City CDP,"1,800","1,700",200,10.3
2017,Foresthill CDP,700,700,0,3.4
2017,Forest Meadows CDP,540,490,50,8.5
2017,Forestville CDP,"2,100","2,000",100,3.9
2017,Fort Bragg city,"3,220","3,080",140,4.4
2017,Fortuna city,"5,200","5,000",200,3.6
2017,Foster City city,"19,700","19,200",500,2.6
2017,Fountain Valley city,"28,400","27,300","1,000",3.7
2017,Fowler city,"2,900","2,700",200,6.4
2017,Frazier Park CDP,"1,200","1,000",100,9.9
2017,Freedom CDP,"1,900","1,800",200,8.5
2017,Fremont city,"118,800","114,900","3,900",3.3
2017,French Camp CDP,"1,100","1,000",100,7.5
2017,Fresno city,"231,000","215,300","15,700",6.8
2017,Friant CDP,200,200,0,14.5
2017,Fullerton city,"70,100","67,600","2,500",3.6
2017,Furnace Creek CDP,120,110,0,0.9
2017,Galt city,"11,400","10,700",700,6.3
2017,Gardena city,"30,300","28,800","1,500",4.9
2017,Garden Acres CDP,"4,500","4,100",400,9.5
2017,Garden Grove city,"81,800","78,600","3,200",3.9
2017,Georgetown CDP,"1,200","1,000",100,9.6
2017,Gilroy city,"29,600","28,400","1,100",3.9
2017,Glendale city,"103,400","98,900","4,500",4.4
2017,Glendora city,"26,100","25,000","1,100",4.4
2017,Glen Ellen CDP,500,500,0,0.0
2017,Golden Hills CDP,"4,400","4,200",200,4.4
2017,Gold River CDP,"3,400","3,200",200,5.2
2017,Goleta City,"17,000","16,500",500,3.0
2017,Gonzales city,"4,100","4,000",100,1.4
2017,Goshen CDP,"1,500","1,400",200,10.7
2017,Graeagle CDP,210,190,20,7.8
2017,Grand Terrace city,"6,400","6,100",300,4.9
2017,Granite Bay CDP,"10,200","9,800",400,4.1
2017,Grass Valley city,"5,830","5,530",300,5.1
2017,Graton CDP,800,700,100,6.6
2017,Greenfield city,"8,100","7,600",500,6.1
2017,Greenhorn CDP,140,120,20,14.1
2017,Green Valley CDP,800,800,0,0.0
2017,Greenville CDP,450,370,90,18.8
2017,Gridley city,"2,700","2,500",200,6.5
2017,Grover Beach city,"6,900","6,500",300,4.6
2017,Guadalupe city,"3,300","3,100",100,3.7
2017,Guerneville CDP,"2,500","2,400",100,3.6
2017,Gustine city,"2,800","2,500",300,9.8
2017,Hacienda Heights CDP,"26,100","25,100","1,000",3.8
2017,Half Moon Bay city,"7,500","7,300",200,2.1
2017,Hamilton Branch CDP,230,200,40,15.6
2017,Hamilton City CDP,"1,010",940,80,7.7
2017,Hanford city,"24,800","23,000","1,800",7.4
2017,Hawaiian Gardens city,"6,400","6,000",300,5.0
2017,Hawthorne city,"44,800","42,700","2,100",4.7
2017,Hayfork CDP,980,960,20,1.6
2017,Hayward city,"78,100","75,000","3,100",4.0
2017,Healdsburg city,"6,100","5,900",200,3.0
2017,Heber CDP,"1,900","1,500",400,20.1
2017,Hemet city,"29,200","27,200","2,000",6.8
2017,Hercules city,"13,900","13,400",500,3.6
2017,Hermosa Beach city,"12,500","12,200",300,2.3
2017,Hesperia city,"35,200","33,000","2,200",6.2
2017,Hidden Hills city,600,600,0,3.8
2017,Hidden Valley Lake CDP,"3,140","3,090",60,1.8
2017,Highgrove CDP,"2,400","2,300",200,8.1
2017,Highland city,"24,300","23,100","1,200",5.0
2017,Hillsborough town,"5,100","4,900",100,2.8
2017,Hilmar Irwin CDP,"2,700","2,700",100,3.1
2017,Hollister city,"19,300","18,100","1,300",6.5
2017,Holtville city,"2,600","2,000",600,21.3
2017,Home Garden CDP,600,500,100,14.5
2017,Home Gardens CDP,"5,100","4,900",200,4.5
2017,Homeland CDP,"2,800","2,700",200,5.7
2017,Hughson city,"3,400","3,200",200,5.7
2017,Huntington Beach city,"108,600","104,900","3,800",3.5
2017,Huntington Park city,"26,600","25,300","1,300",4.9
2017,Huron city,"2,500","2,200",300,12.5
2017,Hydesville CDP,500,500,0,0.4
2017,Idyllwild Pine Cove CDP,"1,300","1,200",0,3.1
2017,Imperial city,"8,100","6,700","1,400",17.2
2017,Imperial Beach city,"11,900","11,300",600,5.1
2017,Independence CDP,220,210,10,2.8
2017,Indian Falls CDP,0,0,0,0.0
2017,Indian Wells city,"1,800","1,700",100,4.4
2017,Indio city,"39,800","37,300","2,600",6.5
2017,Industry city,200,100,0,5.3
2017,Inglewood city,"52,700","49,800","2,900",5.5
2017,Interlaken CDP,"3,500","3,300",200,6.0
2017,Inverness CDP,500,500,0,1.2
2017,Inyokern CDP,300,300,0,0.0
2017,Ione city,"2,110","2,010",100,4.7
2017,Iron Horse CDP,60,60,0,0.0
2017,Irvine city,"144,000","139,200","4,800",3.3
2017,Irwindale city,700,600,0,7.1
2017,Isla Vista CDP,"12,500","11,200","1,300",10.3
2017,Isleton city,300,300,0,4.6
2017,Ivanhoe CDP,"1,800","1,600",200,11.7
2017,Jackson city,"2,140","2,050",90,4.1
2017,Jamestown CDP,"1,230","1,120",110,8.8
2017,Johannesburg CDP,0,0,0,0.0
2017,Johnsville CDP,0,0,0,0.0
2017,Joshua Tree CDP,"2,400","2,200",200,8.0
2017,Jurupa Valley city,"47,100","44,900","2,200",4.7
2017,Keddie CDP,30,20,20,50.0
2017,Keeler CDP,10,10,0,0.0
2017,Keene CDP,100,100,0,9.4
2017,Kelseyville CDP,"1,500","1,440",60,3.8
2017,Kennedy CDP,"1,400","1,300",200,11.2
2017,Kensington CDP,"2,800","2,700",100,2.4
2017,Kerman city,"6,700","6,200",500,7.3
2017,Kernville CDP,500,500,0,0.0
2017,Kettleman City CDP,600,500,100,13.0
2017,Keyes CDP,"2,700","2,500",200,7.8
2017,King City city,"6,300","6,100",300,4.0
2017,Kings Beach CDP,"1,700","1,700",0,1.4
2017,Kingsburg city,"5,600","5,300",300,5.9
2017,Kirkwood CDP,80,80,0,2.6
2017,Klamath CDP,230,200,20,10.6
2017,Knightsen CDP,600,600,0,2.2
2017,La Canada Flintridge city,"9,500","9,300",200,2.2
2017,La Crescenta Montrose CDP,"9,900","9,500",300,3.4
2017,Ladera Heights CDP,"3,500","3,300",200,5.8
2017,Lafayette city,"12,600","12,200",400,3.2
2017,Laguna Beach city,"12,600","12,200",400,3.2
2017,Laguna Hills city,"17,100","16,500",600,3.3
2017,Laguna Niguel city,"35,300","34,200","1,200",3.3
2017,Laguna Woods city,"3,100","3,100",100,2.3
2017,La Habra city,"30,800","29,700","1,100",3.6
2017,La Habra Heights city,"2,600","2,500",100,3.9
2017,Lake Almanor Country Club CDP,90,90,0,0.0
2017,Lake Almanor Peninsula CDP,100,100,0,0.0
2017,Lake Almanor West CDP,30,20,10,25.8
2017,Lake Arrowhead CDP,"4,200","4,000",200,5.2
2017,Lake Elsinore city,"29,400","28,000","1,400",4.8
2017,Lake Forest city,"48,000","46,500","1,500",3.1
2017,Lake Isabella CDP,"1,200","1,100",200,12.7
2017,Lakeland Village CDP,"5,600","5,200",500,8.1
2017,Lake Los Angeles CDP,"3,700","3,300",300,9.1
2017,Lake Nacimiento CDP,"1,300","1,200",0,3.0
2017,Lake of the Pines CDP,"2,000","1,880",120,6.0
2017,Lake of the Woods CDP,300,200,0,9.2
2017,Lakeport city,"2,550","2,470",80,3.1
2017,Lakeside CDP,"10,600","10,000",600,5.3
2017,Lakeview CDP,"1,100","1,100",100,5.6
2017,Lake Wildwood CDP,"1,950","1,930",20,1.0
2017,Lakewood city,"43,000","41,100","1,900",4.4
2017,La Mesa city,"30,500","29,300","1,200",4.0
2017,La Mirada city,"24,200","23,200","1,100",4.4
2017,Lamont CDP,"6,800","6,200",600,8.4
2017,Lanare CDP,100,100,0,0.0
2017,Lancaster city,"64,900","60,600","4,300",6.7
2017,La Palma city,"7,700","7,500",300,3.4
2017,La Porte CDP,0,0,0,0.0
2017,La Puente city,"19,100","18,100",900,4.9
2017,La Quinta city,"18,700","17,700","1,000",5.2
2017,La Riviera CDP,"5,700","5,500",200,4.0
2017,Larkspur city,"7,000","6,800",200,2.2
2017,Las Flores CDP,"3,000","3,000",0,1.1
2017,Las Lomas CDP,"2,200","2,000",200,8.9
2017,Lathrop city,"9,600","9,100",500,5.2
2017,Laton CDP,900,800,100,10.2
2017,La Verne city,"16,000","15,300",700,4.4
2017,Lawndale city,"16,600","15,900",700,4.4
2017,Laytonville CDP,480,420,50,11.3
2017,Lebec CDP,900,800,100,15.7
2017,Le Grand CDP,800,700,100,12.3
2017,Lemon Cove CDP,100,100,0,3.2
2017,Lemon Grove city,"12,500","11,900",600,4.8
2017,Lemoore city,"12,100","11,300",800,6.3
2017,Lemoore Station CDP,"1,500","1,400",100,6.8
2017,Lennox CDP,"10,800","10,300",500,5.0
2017,Lenwood CDP,"1,700","1,600",0,1.3
2017,Lewiston CDP,480,450,30,6.1
2017,Lincoln city,"18,800","18,000",800,4.3
2017,Lincoln Village CDP,"2,100","2,000",100,6.3
2017,Linda CDP,"7,000","6,200",700,10.3
2017,Linden CDP,"1,000",900,0,2.7
2017,Lindsay city,"5,500","4,700",800,14.5
2017,Little Grass Valley CDP,0,0,0,0.0
2017,Littlerock CDP,600,600,100,10.2
2017,Live Oak CDP,"9,000","8,700",300,3.8
2017,Live Oak city,"4,000","3,700",300,7.6
2017,Livermore city,"48,200","46,800","1,500",3.1
2017,Livingston city,"6,600","6,300",300,4.7
2017,Lockeford CDP,"1,500","1,400",100,7.6
2017,Lodi city,"29,400","27,400","2,000",6.7
2017,Loma Linda city,"10,800","10,400",300,3.2
2017,Loma Rica CDP,"1,100","1,100",0,2.5
2017,Lomita city,"11,200","10,700",500,4.3
2017,Lompoc city,"17,400","16,300","1,000",6.0
2017,London CDP,700,600,100,15.4
2017,Lone Pine CDP,840,800,40,4.8
2017,Long Beach city,"237,700","226,100","11,500",4.9
2017,Loomis town,"3,100","3,000",100,4.6
2017,Los Alamitos city,"5,800","5,600",200,3.7
2017,Los Alamos CDP,900,800,0,4.7
2017,Los Altos city,"14,700","14,300",400,3.0
2017,Los Angeles city,"2,059,100","1,960,500","98,600",4.8
2017,Los Banos city,"16,700","14,800","1,900",11.4
2017,Los Gatos town,"16,000","15,500",500,3.3
2017,Los Molinos CDP,650,610,40,6.3
2017,Lost Hills CDP,900,900,0,3.4
2017,Lower Lake CDP,700,660,40,5.2
2017,Loyalton city,450,420,30,6.8
2017,Lucerne CDP,"1,320","1,280",40,3.1
2017,Lynwood city,"28,500","26,900","1,600",5.6
2017,McCloud CDP,390,350,50,12.2
2017,McFarland city,"5,700","5,100",700,11.7
2017,McKinleyville CDP,"7,500","7,300",200,3.1
2017,McKittrick CDP,0,0,0,0.0
2017,Madera city,"27,400","25,000","2,400",8.8
2017,Madera Acres CDP,"4,600","4,300",300,5.7
2017,Magalia CDP,"4,900","4,700",200,4.2
2017,Malibu city,"6,600","6,400",200,3.0
2017,Mammoth Lakes town,"5,460","5,440",20,0.4
2017,Manhattan Beach city,"19,800","19,100",700,3.5
2017,Manteca city,"36,500","34,500","2,000",5.4
2017,Manton CDP,110,100,10,6.3
2017,March AFB CDP,300,300,0,1.5
2017,Maricopa city,400,300,0,12.4
2017,Marina city,"12,300","11,800",400,3.6
2017,Marina del Rey CDP,"6,900","6,700",200,2.9
2017,Mariposa CDP,650,630,20,3.1
