"","NAMELSAD","yr","area","count","nIndv","nCorp","nIndvTech","nIndvBigTech","nCorpBigTech","nDemRec","nRepRec","nIndRec","nComRec","nGen","aTot","aIndv","aCorp","aIndvBigTech","aIndvTech","aCorpTech","aDemRec","aRepRec","aIndRec","aComRec","aGen","meanCFCont","sdCFCont","meanCFCand","sdCFCand","meanCFDiff","sdCFDiff","vReg","vTurn","id"
"2413","South San Gabriel CDP",2004,0.833,145,141,2,17,0,0,20,8,0,119,0.0482758620689655,19312.88,15292.88,2500,0,806.68,0,11350,1000,0,7312.88,4908,0.288137931034483,1.03982836872172,0.351448275862069,0.351448275862069,-0.0384137931034482,0.347690147541339,433523,241511,1105
"2414","South San Jose Hills CDP",2004,1.508,31,30,0,6,0,0,5,5,0,22,0.0967741935483871,5123.7,5003.7,0,0,2066.7,0,1725,310,0,3113.7,445,0.45,1.03732347895919,0.474193548387097,0.474193548387097,0.00451612903225807,0.214691075884668,583309,332002,1106
"2415","South Taft CDP",2004,1.076,7,7,0,0,0,0,0,0,0,7,0,757.71,757.71,0,0,0,0,0,0,0,757.71,0,-0.788571428571429,0.347727315168489,-0.72,-0.72,-0.0685714285714286,0.0302371578407382,58088,31213,1107
"2416","South Whittier CDP",2004,5.337,430,419,2,55,2,0,18,23,0,390,0.086046511627907,48306.56,30460.56,10000,300,2713,0,5485,7817.72,0,35103.84,2799.91,-0.159744186046512,0.966418992297032,-0.049,-0.049,-0.0176744186046512,0.115875852087398,1730819,1099703,1108
"2417","Spaulding CDP",2004,3.329,3,3,0,0,0,0,0,2,0,1,0,300,300,0,0,0,0,0,200,0,100,0,1.2,0,0.99,0.99,0.21,0.173205080756888,62774,47069,1341
"2418","Spreckels CDP",2004,0.122,46,34,10,18,1,0,8,13,0,26,0.239130434782609,18830,10780,6950,200,6130,0,2600,8350,0,8880,4000,0.240869565217391,0.800987795959066,0.153913043478261,0.153913043478261,0.114347826086957,0.378280625837563,93996,76755,1109
"2419","Spring Valley CDP",2004,7.165,328,310,9,18,4,0,37,53,0,259,0.173780487804878,67233.08,61522.08,2350,330,6350,0,8723,25719,0,41591.08,16250.16,0.219268292682927,0.917929168498284,0.236493902439024,0.236493902439024,-0.0141463414634146,0.217077904078636,3047448,1840569,1110
"2420","Spring Valley Lake CDP",2004,2.969,28,28,0,0,0,0,0,0,0,28,0.428571428571429,5694,5694,0,0,0,0,0,0,0,5694,84,0.621071428571429,0.311820690232612,-0.897142857142857,-0.897142857142857,1.55285714285714,0.308267045641553,603973,450608,1111
"2421","Springville CDP",2004,4.183,77,38,27,9,0,0,6,19,1,61,0.142857142857143,32487.13,12253,14729.13,0,4285,0,1385,10405,95,25817.13,1860,0.348571428571429,0.924735686683262,0.203116883116883,0.203116883116883,0.0598701298701299,0.213624692457624,160347,93552,1112
"2422","Squaw Valley CDP",2004,56.559,19,17,0,0,0,0,11,6,0,3,0.210526315789474,1755,1555,0,0,0,0,275,1400,0,180,900,-0.377368421052632,1.36873356755337,-0.375263157894737,-0.375263157894737,-0.00210526315789473,0.175042183721157,511140,414644,1113
"2423","Squirrel Mountain Valley CDP",2004,0.713,3,3,0,1,0,0,0,1,0,2,0.333333333333333,970,970,0,0,500,0,0,500,0,470,500,1.16,0.190525588832577,1.09666666666667,1.09666666666667,0.0633333333333334,0.0288675134594814,136829,77053,1114
"2424","St. Helena city",2004,4.986,856,802,25,122,1,1,415,104,5,347,0.184579439252336,329567.11,294245.87,15849.72,150,42433.17,150,133014.97,87769.04,2600,118418.1,85441.57,-0.332768691588785,0.855554905734423,-0.214801401869159,-0.214801401869159,-0.0446728971962617,0.455727306904831,313117,156345,1115
"2425","Stallion Springs CDP",2004,16.429,73,73,0,1,0,0,5,3,0,69,0.821917808219178,2581.5,2581.5,0,0,345,0,915,250,0,2306.5,729,1.30342465753425,0.533328695756093,1.23178082191781,1.23178082191781,0.0409589041095891,0.136688660664804,137674,87183,1116
"2426","Stanford CDP",2004,2.731,1308,1305,3,115,4,0,593,49,2,683,0.128440366972477,698357.6,692657.6,5700,625,64546.28,0,260811.56,48103,450,427265.79,60516,-1.06938837920489,0.579034966564617,-0.70487003058104,-0.70487003058104,-0.158103975535168,0.298405476671455,823046,533561,1117
"2427","Stanton city",2004,3.15,329,240,43,57,0,0,26,71,0,250,0.209726443768997,182979.42,94401.67,78495.14,0,6954.04,0,13910,77791,0,128627.42,36869.01,0.236018237082067,0.903956216378762,0.217963525835866,0.217963525835866,0.02,0.221773615620447,960747,617770,1118
"2428","Stevenson Ranch CDP",2004,6.361,621,598,10,45,1,0,71,69,3,488,0.0998389694041868,155684.34,143709.34,4148,300,11056.4,0,56777.4,39935,1100,78301.94,28161,-0.0923510466988728,0.87883479260694,-0.0694041867954912,-0.0694041867954912,-0.0261996779388084,0.236793196965048,349457,232387,1119
"2429","Stevinson CDP",2004,1.13,1,0,1,0,0,0,0,1,0,0,1,100,0,100,0,0,0,0,100,0,0,100,0.26,NA,0.77,0.77,-0.51,NA,61991,39292,1342
"2430","Stinson Beach CDP",2004,1.441,5,5,0,1,0,0,4,0,0,1,0.4,850,850,0,0,250,0,600,0,0,250,100,-1.088,0.227310360520589,-1.032,-1.032,-0.056,0.166823259769134,85419,76968,1120
"2431","Stockton city",2004,61.67,5507,4002,717,279,12,3,931,1525,7,3359,0.341383693481024,6873582.41,4062288.13,1567883.49,2025,1238697.68,1630,687598.53,3628052.48,6020,4707136.97,1714500.58,0.218810604684946,0.902429572639551,0.218570909751226,0.218570909751226,1.27110949700447e-05,0.452624043863766,11865609,4583298,1121
"2432","Stonyford CDP",2004,2.897,1,1,0,0,0,0,0,1,0,0,0,500,500,0,0,0,0,0,500,0,0,0,0.91,NA,0.88,0.88,0.03,NA,146679,116727,1343
"2433","Stratford CDP",2004,0.683,1,0,0,0,0,0,0,1,0,0,1,250,0,0,0,0,0,0,250,0,0,250,0.74,NA,0.71,0.71,0.03,NA,136645,81803,1122
"2434","Strawberry CDP",2004,1.317,1682,796,681,71,1,1,625,535,8,548,0.301426872770511,5576578,1398960.15,1117396,1000,82272,150,814028,990214,12100,4085411,834603,-0.216432818073722,0.776634848324123,-0.0306183115338882,-0.0306183115338882,-0.130398335315101,0.564820247008636,1035073,874911,1124
"2435","Sugarloaf Saw Mill CDP",2004,0.097,1,1,0,0,0,0,0,1,0,0,1,3200,3200,0,0,0,0,0,3200,0,0,3200,0.93,NA,0.83,0.83,0.1,NA,160347,93552,1344
"2436","Sugarloaf Village CDP",2004,0.067,18,18,0,0,0,0,0,16,0,2,0,2645,2645,0,0,0,0,0,420,0,2225,0,1.49,0,0.981111111111111,0.981111111111111,0.508888888888889,0.175663076199494,160347,93552,1125
"2437","Suisun City city",2004,4.105,474,386,36,27,1,2,35,21,1,424,0.118143459915612,201531.39,35692.69,17206.54,300,5025,200,11587,10185,100,184099.39,77866.58,-0.108586497890295,0.815192104304808,-0.0725316455696202,-0.0725316455696202,-0.0183755274261603,0.179000331629007,1063685,765832,1126
"2438","Sultana CDP",2004,0.444,7,3,2,0,0,0,4,2,0,4,0.571428571428571,1465,790,325,0,0,0,1040,325,0,890,770,-0.331428571428571,0.843513061970166,-0.0157142857142857,-0.0157142857142857,-0.344285714285714,0.354488229370038,97170,48115,1127
"2439","Summerland CDP",2004,1.983,124,123,1,28,0,0,28,18,1,79,0.209677419354839,48714,48564,150,0,5295,0,17240,13000,200,20374,12780,-0.0425806451612903,1.11273184007425,0.0341935483870968,0.0341935483870968,-0.0641935483870968,0.275734338900862,421728,362751,1128
"2440","Sun Village CDP",2004,10.686,41,40,0,3,0,0,0,5,0,38,0.0731707317073171,4727,3977,0,0,56,0,0,1500,0,3477,1250,0.489512195121951,0.864918930361431,0.604878048780488,0.604878048780488,0.0270731707317073,0.0705777550804438,1199344,702762,1129
"2441","Sunnyside CDP",2004,1.932,504,500,4,28,1,0,69,179,1,276,0.202380952380952,148272.49,146027.49,2245,250,4630,0,20165,52537,500,77554.49,26139.58,0.561944444444444,0.943395051687042,0.618353174603175,0.618353174603175,0.00630952380952382,0.281786884610587,770570,561292,1130
"2442","Sunnyside-Tahoe City CDP",2004,3.38,165,135,22,16,3,0,22,33,0,111,0.133333333333333,68981.19,37828,7691.19,1100,5705,0,4650,39968,0,25213.19,6495,-0.283818181818182,1.08693486730575,-0.00745454545454545,-0.00745454545454545,-0.0583030303030303,0.260369400440765,366364,292602,1131
"2443","Sunnyslope CDP",2004,1.474,14,12,0,0,0,0,3,3,0,8,0.142857142857143,5606,4406,0,0,0,0,950,3100,0,1556,1200,-0.525714285714286,0.666872312604656,-0.0442857142857143,-0.0442857142857143,-0.0128571428571429,0.412243926510816,368384,248595,1132
"2444","Sunnyvale city",2004,21.987,3581,3328,84,699,60,1,1072,334,10,2221,0.165875453783859,1240984,1074809.51,85188.01,18015.34,188731.13,500,481661.15,114509,1975,707223.85,257045.4,-0.384906450712092,1.07359851396089,-0.197028762915387,-0.197028762915387,-0.0771739737503491,0.296788019743432,7210064,5127013,1133
"2445","Sunol CDP",2004,27.751,108,90,12,8,0,0,24,13,0,76,0.148148148148148,29415.6,17426.35,9500,0,3500,0,14666.35,4190,0,12384.25,4891.35,-0.0694444444444444,1.08447052702576,0.0378703703703704,0.0378703703703704,-0.14962962962963,0.435233154673405,727608,613400,1134
"2446","Sunset Beach CDP",2004,0.192,129,127,1,30,1,0,9,14,0,107,0.062015503875969,26139.71,25889.71,100,200,2339,0,7200,5240,0,13899.71,2655,-0.178294573643411,1.11550585780553,0.108992248062016,0.108992248062016,-0.0188372093023256,0.262849849923205,126313,97722,1135
"2447","Susanville city",2004,7.931,125,112,6,5,0,0,6,29,0,93,0.24,15126,8291,4860,0,895,0,820,4275,0,10306,3430,0.09048,0.974013856959123,0.10136,0.10136,-0.03952,0.148002048808835,339140,258108,1136
"2448","Sutter CDP",2004,3.036,2,1,0,1,1,1,0,2,0,0,0.5,600,500,0,500,500,500,0,600,0,0,100,0.65,0.339411254969543,0.63,0.63,0.02,0.0282842712474619,619647,458795,1137
"2449","Sutter Creek city",2004,2.558,70,69,1,2,0,0,2,13,0,56,0.342857142857143,11212,10212,1000,0,55,0,180,8554,0,2608,1240,0.335857142857143,0.801072637530714,0.149571428571429,0.149571428571429,0.0641428571428572,0.35763511830746,1223087,1075997,1138
"2450","Swall Meadows CDP",2004,4.462,25,25,0,0,0,0,7,0,0,22,0.04,781,781,0,0,0,0,540,0,0,631,40,-0.342,0.564815604128167,-0.238,-0.238,-0.104,0.196235402854157,102211,81205,1139
"2451","Taft city",2004,15.113,136,108,7,3,0,0,22,20,0,109,0.264705882352941,51760.33,18285.33,3200,0,300,0,19940,15250,0,36550.33,7104.08,0.485073529411765,1.08420511679945,0.375,0.375,-0.00330882352941177,0.222730713167796,279398,153058,1140
"2452","Taft Heights CDP",2004,0.303,21,15,6,0,0,0,4,11,1,6,0.476190476190476,13935.07,8985.07,4950,0,0,0,1500,11325,100,2660.07,8575,0.775714285714286,0.514981275665159,0.485714285714286,0.485714285714286,0.134285714285714,0.301256890851835,58088,31213,1141
"2453","Tahoe Vista CDP",2004,2.716,1,1,0,0,0,0,0,1,0,0,0,250,250,0,0,0,0,0,250,0,0,0,1.03,NA,0.89,0.89,0.14,NA,147059,122425,1142
"2454","Talmage CDP",2004,1.59,22,15,7,1,0,0,2,0,0,19,0.0454545454545455,3647.56,2405,1242.56,0,100,0,325,0,0,3222.56,311.28,0.553636363636364,0.817280889259043,0.559545454545455,0.559545454545455,-0.0722727272727273,0.560967971398604,223549,178595,1143
"2455","Tamalpais-Homestead Valley CDP",2004,4.637,1501,1497,3,197,20,0,526,64,4,861,0.0952698201199201,615564.82,613489.82,1500,11455,57994.15,0,273810.61,35170,8000,290413.71,76978,-0.849127248500999,0.832908541075802,-0.47780146568954,-0.47780146568954,-0.124450366422385,0.288318425301263,992439,900160,1144
"2456","Tara Hills CDP",2004,0.639,15,15,0,8,0,0,2,1,0,12,0.0666666666666667,2023.21,2023.21,0,0,1400,0,300,100,0,1623.21,100,-0.744,1.15602644556997,-0.646666666666667,-0.646666666666667,-0.0973333333333334,0.223110051853553,102128,53612,1145
"2457","Tarpey Village CDP",2004,0.805,30,27,0,6,0,0,8,7,1,16,0.3,27080,5680,0,0,935,0,23245,1000,25,3380,22375,-0.196333333333333,1.17262888662489,-0.0956666666666667,-0.0956666666666667,-0.100666666666667,0.401376367647308,1036485,783587,1146
"2458","Taylorsville CDP",2004,3.248,10,10,0,1,0,0,0,0,0,10,0.1,315,315,0,0,15,0,0,0,0,315,100,-1.128,0.7703505695461,-0.051,-0.051,-0.051,0.300386787695834,198781,160502,1147
"2459","Tecopa CDP",2004,18.589,1,1,0,0,0,0,0,1,0,0,1,500,500,0,0,0,0,0,500,0,0,500,0.7,NA,0.68,0.68,0.0199999999999999,NA,215097,109154,1345
"2460","Tehachapi city",2004,9.874,39,38,0,10,0,0,0,5,0,36,0.0769230769230769,3303,3053,0,0,300,0,0,800,0,2703,600,0.702307692307692,0.841638319427499,0.668205128205128,0.668205128205128,0.0902564102564103,0.306778569033682,405849,238129,1148
"2461","Tehama city",2004,0.794,16,15,0,0,0,0,2,1,0,13,0.1875,1220,1020,0,0,0,0,500,200,0,520,700,0.11,0.767567586600685,0.124375,0.124375,-0.014375,0.0558532302855738,351988,273442,1149
"2462","Temecula city",2004,30.151,1687,1445,46,127,22,1,169,306,0,1269,0.142857142857143,7082092.5,276595.44,60023.76,2032.69,33408.64,150,828057.75,411929.4,0,6029633.35,383376.59,0.172744516893894,0.832288072650274,0.145453467694132,0.145453467694132,0.0112211025489034,0.308719165983074,2604603,2026738,1150
"2463","Temelec CDP",2004,1.588,112,112,0,6,0,0,55,2,0,59,0.0357142857142857,7156,7156,0,0,875,0,3395,450,0,3721,320,-0.84625,0.930053882968737,-0.714285714285714,-0.714285714285714,-0.089375,0.321870325995977,377430,151740,1151
"2464","Temescal Valley CDP",2004,19.302,296,262,29,9,0,0,11,39,0,246,0.111486486486486,46965.48,37360.48,8835,0,2236,0,3950,13285,0,30010.48,10693,0.0288513513513513,0.731316920934846,0.0694594594594595,0.0694594594594595,-0.00422297297297298,0.13829986192848,894934,685313,1152
"2465","Temple City city",2004,4.006,889,839,4,85,10,9,100,88,2,700,0.265466816647919,227203.75,198840.75,3498,670.52,9527.72,401,48447,118773,375,155523.75,27085.16,0.130697412823397,0.975146770891098,0.193802024746907,0.193802024746907,-0.0504499437570304,0.251579291009762,1832183,1058211,1153
"2466","Templeton CDP",2004,7.717,107,100,4,7,5,0,12,20,0,77,0.205607476635514,19449.58,17729.58,1250,700,775,0,3307.45,8750,0,7592.13,4694.95,-0.0630841121495327,0.950170204430082,0.0373831775700935,0.0373831775700935,-0.0416822429906542,0.183161368080678,1157941,945192,1154
"2467","Terminous CDP",2004,0.977,1,1,0,0,0,0,1,0,0,0,0,100,100,0,0,0,0,100,0,0,0,0,-0.99,NA,-0.9,-0.9,-0.09,NA,92107,52472,1346
"2468","Terra Bella CDP",2004,2.721,37,15,12,0,0,0,10,15,0,22,0.378378378378378,19265.78,8170,3970.78,0,0,0,4195,13075,0,9140.78,10055,0.282162162162162,0.622321527897022,0.477567567567568,0.477567567567568,-0.152432432432432,0.319116883893011,93013,43815,1155
"2469","Thermal CDP",2004,9.451,7,6,1,0,0,0,0,2,0,5,0,2345,2245,100,0,0,0,0,1150,0,1195,0,1.10571428571429,0.152627776290026,0.791428571428571,0.791428571428571,0.314285714285714,0.559965985361526,571452,285825,1156
"2470","Thermalito CDP",2004,12.702,73,68,1,0,2,0,6,10,0,58,0.315068493150685,6901.29,5043.29,100,200,0,0,1300,1735,0,3966.29,2026,0.441506849315069,0.889862147927164,0.411917808219178,0.411917808219178,0.00849315068493156,0.259420675270863,280916,194442,1157
"2471","Thornton CDP",2004,2.127,14,12,1,0,0,0,2,0,0,13,0,1290,1040,150,0,0,0,125,0,0,1190,0,-0.232142857142857,1.07438840256233,0.153571428571429,0.153571428571429,-0.0285714285714285,0.0942057603054361,92107,52472,1158
"2472","Thousand Oaks city",2004,55.031,13535,12523,498,1194,21,8,943,1429,26,11232,0.0922792759512375,6164548.39,3041780.72,1228570.06,5029.52,188366.18,778,913516.19,2452336.09,19300,3772416.03,1006439.15,0.00967343923162172,0.748117540850705,0.0431274473586997,0.0431274473586997,-0.0122282970077577,0.260083649705802,10162206,5414931,1159
"2473","Thousand Palms CDP",2004,23.636,78,31,37,6,0,0,26,24,0,28,0.5,34699,6476,24225,0,1450,0,5950,23475,0,5274,10999,0.0941025641025641,0.809180178188122,0.0301282051282051,0.0301282051282051,0.102820512820513,0.532540828105915,1443298,1219323,1160
"2474","Three Rivers CDP",2004,44.505,71,71,0,12,1,0,13,12,0,47,0.140845070422535,15992,15992,0,200,2085,0,2880,7475,0,5837,1325,-0.725492957746479,0.867842626833747,-0.337323943661972,-0.337323943661972,-0.146478873239437,0.419479604787882,132302,70171,1161
"2475","Tiburon town",2004,4.446,1845,1814,12,184,8,1,768,157,0,784,0.147967479674797,1229019.28,1207619.78,7150,3100,93610.36,1000,542575.11,85357,0,621277.17,182527.16,-0.680406504065041,0.87399170139129,-0.418959349593496,-0.418959349593496,-0.125040650406504,0.374335652992779,576507,522147,1162
"2476","Timber Cove CDP",2004,5.651,1,1,0,0,0,0,0,0,0,1,0,500,500,0,0,0,0,0,0,0,500,0,-1.27,NA,-1.17,-1.17,-0.1,NA,65574,23312,1347
"2477","Tipton CDP",2004,1.01,101,48,1,0,0,0,5,14,0,86,0.0495049504950495,40413.7,25187.56,1000,0,0,0,3000,14750,0,24813.7,2005,0.581782178217822,0.586710143153506,0.200594059405941,0.200594059405941,0.0266336633663366,0.18736209450005,97136,48027,1163
"2478","Tomales CDP",2004,0.332,42,42,0,2,1,0,13,4,0,25,0.119047619047619,14360,14360,0,1000,1500,0,7550,3500,0,3310,3250,-1.08190476190476,0.533004544414975,0.00833333333333333,0.00833333333333333,-0.423571428571429,0.830212495362751,222455,199726,1164
"2479","Tooleville CDP",2004,0.067,3,3,0,1,0,0,1,2,0,1,0.333333333333333,2200,2200,0,0,1000,0,1000,1200,0,200,1000,0.92,0,0.653333333333333,0.653333333333333,0.266666666666667,0.579338703465713,148696,67740,1348
"2480","Topanga CDP",2004,19.129,1067,1051,2,100,1,2,369,61,7,636,0.101218369259606,336416.1,330272.1,1100,500,28482.32,550,134036,63572,2550,159502.1,71458.58,-0.762642924086223,0.820702661324971,-0.54369259606373,-0.54369259606373,-0.131152764761012,0.273112973242267,846254,545460,1165
"2481","Toro Canyon CDP",2004,3.57,180,177,2,5,0,0,57,40,3,77,0.211111111111111,149115.47,147115.47,1000,0,1400,0,50680.4,48400,750,52235.07,29200,-0.210666666666667,1.06969352891847,-0.160944444444444,-0.160944444444444,-0.0816666666666667,0.404681404448172,421728,362751,1166
"2482","Torrance city",2004,20.478,6324,5736,225,680,103,4,877,648,46,4870,0.14168247944339,1859962.13,1024653.88,263286.09,26117.18,132628.66,380.2,533118.69,321445.6,12531,1097436.82,372522.15,-0.00433744465528147,0.900264807537328,0.0105993042378242,0.0105993042378242,-0.0285768500948767,0.329990293027163,5968682,3758965,1167
"2483","Tracy city",2004,22.003,1419,1317,21,77,4,31,104,145,0,1189,0.238195912614517,355878.4,171167.9,10668.88,900,17379.74,4659,31348,67379.85,0,258148.55,206594.05,0.128724453840733,0.968655368920591,0.175292459478506,0.175292459478506,0.00586328400281889,0.242301810709846,2853805,1426836,1168
"2484","Tranquillity CDP",2004,0.617,2,0,1,0,0,0,0,2,0,1,0.5,250,0,100,0,0,0,0,250,0,150,100,0.91,0.141421356237309,0.875,0.875,0.035,0.00707106781186548,204663,147661,1349
"2485","Traver CDP",2004,0.843,4,3,0,1,0,0,0,2,0,2,0.25,2090,1640,0,0,1000,0,0,1500,0,590,500,0.6975,0.717141315687966,0.3475,0.3475,0.35,0.760131567559196,30461,13718,1169
"2486","Trinidad city",2004,0.485,49,41,0,5,0,0,34,4,2,11,0.224489795918367,17460,6860,0,0,920,0,12405,3100,70,6385,6150,-0.72530612244898,0.660284351753143,-0.607755102040816,-0.607755102040816,-0.0979591836734694,0.324659947687812,300976,182555,1171
"2487","Trowbridge CDP",2004,6.747,26,20,6,0,0,0,0,3,0,23,0.538461538461538,3135,1485,1650,0,0,0,0,250,0,2885,435,0.750384615384615,1.03111388612211,0.881538461538461,0.881538461538461,-0.150769230769231,0.583142679466514,355465,257774,1172
"2488","Truckee town",2004,32.322,213,194,9,21,2,0,21,42,0,158,0.0892018779342723,54619.7,48521.7,2900,350,5650,0,11140.4,21095,0,25684.3,10915,0.324835680751174,1.13135400438995,0.283521126760563,0.283521126760563,-0.016056338028169,0.281425677409497,1210054,962745,1173
"2489","Tulare city",2004,20.931,478,403,51,40,5,0,30,231,0,270,0.230125523012552,234296.25,126738.68,72225,920,17650,0,25045,170099,0,76969.25,82493,0.571401673640167,0.930676768338545,0.509853556485356,0.509853556485356,0.0579707112970711,0.385836594359687,1019324,453550,1174
"2490","Tulelake city",2004,0.41,19,19,0,0,0,0,0,10,0,10,0.157894736842105,4001,4001,0,0,0,0,0,3050,0,1101,450,1.00263157894737,0.391646696019415,1.05052631578947,1.05052631578947,-0.0478947368421053,0.352271658862059,204815,125148,1175
"2491","Tuolumne City CDP",2004,2.332,5,5,0,0,0,0,1,0,0,3,0.4,230,230,0,0,0,0,60,0,0,150,80,-1.424,0.0581377674149945,-0.314,-0.314,-0.24,0.329317476001502,357035,288644,1176
"2492","Tupman CDP",2004,0.528,15,14,1,11,0,0,1,0,0,15,0,1086.19,586.19,500,0,306.19,0,500,0,0,1086.19,0,0.260666666666667,0.548406349169595,0.0773333333333333,0.0773333333333333,-0.0806666666666667,0.312420656594065,29827,17845,1177
"2493","Turlock city",2004,16.928,957,842,79,78,0,0,71,224,2,699,0.123301985370951,431315.05,291385.62,61017.09,0,10592,0,138960.15,101273,200,219845.9,50973.24,0.326551724137931,0.902898181548956,0.279101358411703,0.279101358411703,0.0340438871473354,0.314178296920718,3849658,1576945,1178
"2494","Tustin city",2004,11.082,3340,2679,204,392,19,3,284,543,21,2589,0.137125748502994,1615588.41,878327.02,460497.13,13986.48,113958.11,4000,199813,534794.29,16780.5,1096253.62,288200.53,0.123455089820359,0.915207239473131,0.130511976047904,0.130511976047904,-0.00129341317365269,0.40720407410533,1739320,1308569,1179
"2495","Tuttle CDP",2004,1.759,6,5,0,0,0,0,0,4,0,2,0,1554,1054,0,0,0,0,0,1450,0,104,0,0.54,0.418282201390401,0.52,0.52,0.02,0.0154919333848297,398183,222095,1180
"2496","Tuttletown CDP",2004,7.35,12,12,0,0,1,0,1,1,0,11,0,1180,1180,0,100,0,0,500,100,0,680,0,0.690833333333333,1.04195147621561,0.718333333333333,0.718333333333333,-0.0275,0.192831768412497,756698,591296,1350
"2497","Twain CDP",2004,7.191,2,2,0,0,0,0,0,0,0,2,0,150,150,0,0,0,0,0,0,0,150,0,-1.33,0,-1.17,-1.17,-0.16,0,198781,160502,1351
"2498","Twain Harte CDP",2004,3.699,82,78,2,5,0,0,10,12,0,64,0.182926829268293,29018.58,27865,153.58,0,250,0,1675,1295,0,27193.58,1585,0.245853658536585,1.18454340968615,0.260975609756098,0.260975609756098,-0.00158536585365856,0.34293745429885,811860,645961,1181
"2499","Twentynine Palms city",2004,59.143,60,59,0,0,0,0,3,19,0,39,0.0833333333333333,8911,7911,0,0,0,0,325,2020,0,6611,620,0.543166666666667,0.899100287889852,0.741,0.741,-0.1515,0.425037685268383,2468758,1802721,1182
"2500","Twin Lakes CDP",2004,0.69,180,180,0,61,1,0,75,6,4,95,0.0833333333333333,47624.26,47624.26,0,250,19106,0,23570,500,1300,22479.26,4725,-1.11694444444444,0.688541570352177,-0.656666666666667,-0.656666666666667,-0.17,0.314488144921378,367622,301497,1183
"2501","Ukiah city",2004,4.67,607,464,64,42,1,0,120,32,1,458,0.120263591433278,103090.16,59813.87,23169.2,5,4194,0,19756.56,6365,50,77268.6,14559.08,-0.202668863261944,1.02576806644636,-0.107067545304778,-0.107067545304778,-0.0385172981878089,0.332268593805752,764816,587976,1184
"2502","Union City city",2004,19.469,1846,1530,181,192,12,6,309,146,2,1431,0.206933911159263,757670.55,219937.47,321091.62,2175,16521.96,8210,314321.4,152185,750,422792.15,201340.87,-0.203916576381365,0.8395893896258,-0.0474593716143012,-0.0474593716143012,-0.034626218851571,0.313687304031538,3782112,2838045,1185
"2503","University of California Davis CDP",2004,1.459,35,35,0,4,1,0,11,0,0,24,0.0285714285714286,5799,5799,0,300,500,0,2300,0,0,3499,100,-0.754,0.727090090704034,-0.362571428571429,-0.362571428571429,-0.168857142857143,0.327726315414442,15724,11421,1186
"2504","Upland city",2004,15.617,2978,2510,209,167,10,3,323,538,5,2235,0.156145063801209,1469825.72,803921.25,307496.19,2745,35477.29,4295,227606.51,506722.52,9900,847663.97,336693.05,0.170006715916723,0.823569657124561,0.188727333781061,0.188727333781061,-0.00296507723304231,0.308483411067121,2488280,1930557,1187
"2505","Upper Lake CDP",2004,1.682,5,5,0,0,2,0,2,2,0,3,0,675,675,0,415,0,0,240,415,0,435,0,-0.182,1.27672236606084,0.196,0.196,-0.004,0.0450555213042753,531059,392832,1188
"2506","Vacaville city",2004,28.373,1732,1626,25,251,31,19,261,183,3,1324,0.131062355658199,389115.44,230756.44,26800,3072.96,33602.66,1255,81373.6,87935,1500,224457.04,88372.02,-0.0862471131639723,0.94952540860176,-0.00021939953810624,-0.00021939953810624,-0.0251847575057737,0.282915661370382,2877508,2289296,1189
"2507","Val Verde CDP",2004,2.565,20,20,0,1,0,0,2,0,0,15,0.05,22231.95,22231.95,0,0,130,0,200,0,0,11981.95,50,-0.1045,0.696891405872498,-0.215,-0.215,-0.098,0.175757009293483,192642,126829,1190
"2508","Valinda CDP",2004,2.014,45,43,2,2,0,0,15,0,0,33,0.0888888888888889,5697.4,5197.4,500,0,340,0,5070,0,0,812.4,380,-0.664222222222222,0.751106725526615,-0.44,-0.44,-0.0808888888888889,0.180111357249067,958810,584807,1191
"2509","Valle Vista CDP",2004,6.868,238,235,2,15,0,0,11,24,0,212,0.512605042016807,21784.5,19529.5,2000,0,1143,0,4635,4595,0,14734.5,9050,0.946470588235294,0.810711609314489,0.930294117647059,0.930294117647059,0.0253361344537815,0.252964892322756,919333,702266,1192
"2510","Vallecito CDP",2004,8.561,3,3,0,0,0,0,0,1,0,2,0.333333333333333,425,425,0,0,0,0,0,200,0,225,100,0.31,1.46550332650595,0.423333333333333,0.423333333333333,-0.113333333333333,0.282901631902917,765609,623491,1193
"2511","Vallejo city",2004,30.671,2695,2183,62,273,11,20,432,169,10,2093,0.186270871985158,701467.86,302967.52,34212.21,2425,27028.73,21250,180957.84,55992.04,10700,443344.98,87836.15,-0.297977736549165,0.854476156544181,-0.180890538033395,-0.180890538033395,-0.0374508348794063,0.228353575232172,4667521,3443365,1194
"2512","Valley Acres CDP",2004,4.123,2,2,0,0,0,0,1,1,0,0,1,2050,2050,0,0,0,0,50,2000,0,0,2050,0.115,1.15258405333407,0.25,0.25,-0.135,0.120208152801713,29827,17845,1195
"2513","Valley Center CDP",2004,27.426,191,169,7,43,0,1,31,42,0,124,0.136125654450262,120273.08,38353.08,35275,0,9419.44,2000,81770,18292.67,0,75705.41,7464,0.460418848167539,1.00842181674386,0.394083769633508,0.394083769633508,0.063979057591623,0.39708925097932,1547119,986690,1196
"2514","Valley Ford CDP",2004,2.642,27,27,0,0,0,0,9,0,0,18,0.296296296296296,2585,2585,0,0,0,0,1250,0,0,1335,535,-1.36,0,-0.583703703703704,-0.583703703703704,-0.121481481481482,0.183674119941222,148254,70729,1197
